패키지명,총 릴리즈 수,평일 릴리즈 수,주말 릴리즈 수,주말 릴리즈 비율(%),최신 버전,첫 릴리즈 날짜,최근 릴리즈 날짜,릴리즈 기간(일),근무일 수,평균 릴리즈 주기(근무일 기준),프리릴리즈 비율(%),연간 릴리즈 수,주간 릴리즈 수,일간 릴리즈 수
stackflow/react-ui-core,10,10,0,0.00,1.3.2,2024-08-08,2025-05-29,295,211,23.33,0.00,10,0,0
stackflow/plugin-basic-ui,26,25,1,3.85,1.14.2,2023-12-01,2025-05-29,546,390,15.56,0.00,18,0,0
stackflow/react,18,18,0,0.00,1.5.2,2023-12-22,2025-05-12,507,362,21.24,0.00,14,0,0
stackflow/core,9,9,0,0.00,1.2.0,2023-12-22,2025-02-14,420,301,37.50,0.00,7,0,0
stackflow/plugin-history-sync,17,17,0,0.00,1.7.1,2023-12-22,2025-01-22,397,284,17.69,0.00,10,0,0
stackflow/link,11,11,0,0.00,1.6.1,2023-12-22,2025-01-22,397,284,28.30,0.00,8,0,0
stackflow/config,3,3,0,0.00,1.2.1,2024-07-31,2025-01-22,176,126,62.50,0.00,3,0,0
stackflow/plugin-preload,10,10,0,0.00,1.4.3,2023-12-22,2024-09-26,279,200,22.11,0.00,7,0,0
stackflow/plugin-renderer-web,8,8,0,0.00,1.1.13,2023-12-22,2024-09-03,256,183,26.00,0.00,5,0,0
stackflow/plugin-renderer-basic,8,8,0,0.00,1.1.13,2023-12-22,2024-09-03,256,183,26.00,0.00,5,0,0
stackflow/plugin-map-initial-activity,8,8,0,0.00,1.0.11,2023-12-22,2024-09-03,256,183,26.00,0.00,5,0,0
stackflow/plugin-google-analytics-4,8,8,0,0.00,1.1.15,2023-12-22,2024-09-03,256,183,26.00,0.00,5,0,0
stackflow/compat-await-push,8,8,0,0.00,1.1.13,2023-12-22,2024-09-03,256,183,26.00,0.00,5,0,0
stackflow/plugin-stack-depth-change,6,5,1,16.67,1.1.5,2023-12-22,2024-08-14,236,169,33.60,0.00,3,0,0
stackflow/plugin-devtools,5,5,0,0.00,0.1.11,2023-12-22,2024-08-14,236,169,42.00,0.00,3,0,0
stackflow/esbuild-config,3,3,0,0.00,1.0.3,2023-12-22,2024-07-25,216,155,77.00,0.00,2,0,0
stackflow/eslint-config,1,1,0,0.00,1.0.2,2023-12-22,2023-12-22,0,1,0.00,0.00,0,0,0
seed-design/webpack-plugin,22,22,0,0.00,0.0.30,2025-02-25,2025-06-02,98,70,3.29,0.00,22,1,0
seed-design/vite-plugin,22,22,0,0.00,0.0.30,2025-02-25,2025-06-02,98,70,3.29,0.00,22,1,0
seed-design/stackflow,23,23,0,0.00,0.0.30,2025-02-19,2025-06-02,104,74,3.32,8.70,23,1,0
seed-design/rsbuild-plugin,20,20,0,0.00,0.0.30,2025-03-04,2025-06-02,91,65,3.37,0.00,20,1,0
