저장소,릴리즈 ID,릴리즈 태그,릴리즈 이름,릴리즈 노트,릴리즈 페이지 URL,초안 여부,프리릴리즈 여부,생성일시,발행일시,작성자 이름,작성자 프로필 URL,대상 브랜치,다운로드 수,에셋 수
daangn/seed-design,222380899,@seed-design/webpack-plugin@0.0.30,@seed-design/webpack-plugin@0.0.30,"### Patch Changes

-   Updated dependencies [285cb9b]
    -   @seed-design/css@0.0.30
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/webpack-plugin%400.0.30,false,false,2025-06-02T10:01:42Z,2025-06-02T10:01:52Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,222380970,@seed-design/vite-plugin@0.0.30,@seed-design/vite-plugin@0.0.30,"### Patch Changes

-   Updated dependencies [285cb9b]
    -   @seed-design/css@0.0.30
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/vite-plugin%400.0.30,false,false,2025-06-02T10:01:42Z,2025-06-02T10:02:10Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,222380892,@seed-design/stackflow@0.0.30,@seed-design/stackflow@0.0.30,"### Patch Changes

-   Updated dependencies [285cb9b]
    -   @seed-design/css@0.0.30
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/stackflow%400.0.30,false,false,2025-06-02T10:01:42Z,2025-06-02T10:01:49Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,222380873,@seed-design/rsbuild-plugin@0.0.30,@seed-design/rsbuild-plugin@0.0.30,"### Patch Changes

-   Updated dependencies [285cb9b]
    -   @seed-design/css@0.0.30
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/rsbuild-plugin%400.0.30,false,false,2025-06-02T10:01:42Z,2025-06-02T10:01:46Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,222380933,@seed-design/react@0.0.30,@seed-design/react@0.0.30,"### Patch Changes

-   4610b5b: PullToRefresh에 disabled prop을 추가합니다.

-   739b6bf: Tabs.Indicator의 width가 첫 렌더링 시 0으로 설정되는 문제를 수정합니다.

    Tabs의 불필요한 리렌더링을 줄입니다.

-   285cb9b: - `ContextualFloatingButton`과 `FloatingActionButton` 컴포넌트를 제공합니다.
    -   기존의 `Fab` 및 `ExtendedFab`를 deprecate합니다.
    -   Floating 요소들의 위치를 편리하게 제어하도록 `Float` 유틸리티 컴포넌트를 제공합니다.

-   Updated dependencies [4610b5b]

-   Updated dependencies [739b6bf]

-   Updated dependencies [285cb9b]
    -   @seed-design/react-pull-to-refresh@0.0.6
    -   @seed-design/react-tabs@0.0.7
    -   @seed-design/css@0.0.30
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react%400.0.30,false,false,2025-06-02T10:01:42Z,2025-06-02T10:02:01Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,222380957,@seed-design/react-tabs@0.0.7,@seed-design/react-tabs@0.0.7,"### Patch Changes

-   739b6bf: Tabs.Indicator의 width가 첫 렌더링 시 0으로 설정되는 문제를 수정합니다.

    Tabs의 불필요한 리렌더링을 줄입니다.
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react-tabs%400.0.7,false,false,2025-06-02T10:01:42Z,2025-06-02T10:02:07Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,222380923,@seed-design/react-pull-to-refresh@0.0.6,@seed-design/react-pull-to-refresh@0.0.6,"### Patch Changes

-   4610b5b: PullToRefresh에 disabled prop을 추가합니다.
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/react-pull-to-refresh%400.0.6,false,false,2025-06-02T10:01:42Z,2025-06-02T10:01:58Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,222380863,@seed-design/mcp@0.0.30,@seed-design/mcp@0.0.30,"### Patch Changes

-   @seed-design/figma@0.0.30
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/mcp%400.0.30,false,false,2025-06-02T10:01:42Z,2025-06-02T10:01:43Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,222380913,@seed-design/figma@0.0.30,@seed-design/figma@0.0.30,"### Patch Changes

-   Updated dependencies [285cb9b]
    -   @seed-design/css@0.0.30
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/figma%400.0.30,false,false,2025-06-02T10:01:42Z,2025-06-02T10:01:55Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
daangn/seed-design,222380944,@seed-design/css@0.0.30,@seed-design/css@0.0.30,"### Patch Changes

-   285cb9b: - `ContextualFloatingButton`과 `FloatingActionButton` 컴포넌트를 제공합니다.
    -   기존의 `Fab` 및 `ExtendedFab`를 deprecate합니다.
    -   Floating 요소들의 위치를 편리하게 제어하도록 `Float` 유틸리티 컴포넌트를 제공합니다.
",https://github.com/daangn/seed-design/releases/tag/%40seed-design/css%400.0.30,false,false,2025-06-02T10:01:42Z,2025-06-02T10:02:04Z,github-actions[bot],https://github.com/apps/github-actions,dev,0,0
